time_s,output_voltage_V,inductor_current_A,duty_cycle,tracking_error_V,Vin_V,R_ohm,L_H,C_F
0.0005,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.001,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0015,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.002,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0025,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.003,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0035,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.004,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0045000000000000005,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.005,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0055,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.006,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.006500000000000001,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.007,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0075,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.008,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0085,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.009000000000000001,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0095,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.01,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0105,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.011,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0115,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.012,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0125,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.013000000000000001,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0135,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.014,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0145,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.015,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0155,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.016,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0165,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.017,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0175,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.018000000000000002,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0185,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.019,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0195,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.02,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.0205,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.021,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.021500000000000002,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.022,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
